绝对地	0.88
接受	0.93
可承认的	0.95
粉刺	-0.96
积极地	0.95
灵巧	0.88
代理人	0.91
广场恐惧症	-0.95
好的	0.88
逗乐	0.92
可回答的	0.875
炭疽病	-0.93
预期的	0.94
适用的	0.93
方法	0.88
巧	0.89
断言	0.91
残暴地	-0.93
利用	0.87
奖	0.88
严重	-0.92
兽性	-0.96
美丽	0.93
迷人的	0.89
美女	0.87
更好的	0.93
空白的	-0.95
船艺	0.87
大胆的	0.9
野蛮	-0.96
建立	0.88
乞讨	0.89
灾难性的	-0.93
可计算的	0.92
口径	0.92
谩骂	-0.95
猫腻	-0.92
慈善机构	0.94
迷人	0.89
叽叽喳喳	0.98
干净的	0.99
可清洗	0.99
聪明的	0.88
闭门	-0.93
科涅克白兰地	0.95
相干	0.92
委员会	0.88
富有同情心的	0.96
合规	0.95
赞扬	0.96
condole_with	-0.93
显眼的	0.94
舒适的	0.88
可信的	0.9
可信的	0.89
有罪的	-0.96
凝固	-0.95
损害	-0.97
炫	0.89
骗人的	-0.99
奉献精神	0.95
设计	0.92
脱色	-0.93
镇静剂	0.89
贬	-0.94
可取的	0.9
破坏性的	-0.96
变音符号	0.89
尊严	0.97
可识别的	0.87
挑剔的	0.89
不安	-0.93
歧视的	0.89
轻蔑的	-0.94
不参与	0.94
苦恼	-0.94
转移	0.89
神	0.88
害怕	-0.97
滑稽	0.93
熏陶	0.95
优雅的	0.93
迷住	0.88
附魔	0.91
享受	0.95
热情	0.89
诱人的	0.89
性感的	0.88
红皮病	-0.93
可估计的	1.0
礼仪	0.99
永恒的	0.92
明显	0.87
显然	0.87
期待的	0.87
实验	0.87
秀色可餐	0.87
面子	0.87
谬误	-0.95
名声	0.89
吸引	0.87
多产	0.88
女性化	0.88
沃	0.88
可施肥的	0.88
污秽	-0.95
污秽	-0.95
无指	-0.97
公司	0.98
牢牢	0.91
头等舱	1.0
第一流	0.91
芊芊	0.9
扑	-0.95
喜欢	0.88
偶然	0.92
礼服	0.87
功能性	0.9
从根本上说	0.94
温和的	0.96
密切相关	0.93
礼物包装	0.97
腺鼠疫	-0.94
发光的	0.87
过去	0.88
心地善良	0.88
好天气	0.89
血腥	-0.94
优美	0.91
宏大	0.95
重力	0.94
悲伤	-1.0
蛴螬	0.89
咕哝	0.92
喷	0.92
习惯形成	-0.93
头发分裂	0.89
幸福	1.0
快乐的	0.89
铁石心肠	-0.95
健康的	0.91
更健康	0.91
无助	-0.93
蜜月	0.88
流氓	-0.92
可怕的	-0.96
可怕	-0.93
可怕的	-0.93
好客	0.9
人文主义者	0.88
人道主义	0.87
理想化	0.95
可识别的	0.95
无可挑剔	-0.95
浮躁	-0.92
坚不可摧	0.88
燃烧的	-0.98
尖锐	0.92
恶劣的	-0.92
无形	-0.94
冷漠	-0.96
拥护	0.96
就职	0.92
臭名昭著	-0.98
痴情	0.93
感染剂	0.91
鼓舞人心的	0.87
